source,target,tgt_lng
market conditions,Marktbedingungen,
health and safety regulations,Gesundheits- und Sicherheitsvorschriften,
creche,Kindertagesstätte,
liabilities,Haftung,
employees,Mitarbeiter,
grievances,Beschwerden,
quality of services,Dienstleistungsqualität,
health and safety standards,Gesundheits- und Sicherheitsstandards,
staff behaviour,Personalverhalten,
Informal Resolution,Informelle Lösung,
immediate manager,direkter Vorgesetzter,
crèche staff,Personal der Kindertagesstätte,
HRBP,HRBP,
mediation or conciliation services,Mediations- oder Schlichtungsdienste,
parties involved,beteiligte Parteien,
Formal Resolution,Formelle Lösung,
grievance procedure,Beschwerdeverfahren,
written grievance,schriftliche Beschwerde,
HR department,Personalabteilung,
Grievance Redressal Committee,Ausschuss für Beschwerdebeilegung,
personal information,personenbezogene Daten,
grievance process,Beschwerdeprozess,
data protection laws,Datenschutzgesetze,
structured guideline,strukturierter Leitfaden,
discounted pricing,ermäßigte Preise,
conditions,Bedingungen,
children,Kinder,
eligible employees,berechtigte Mitarbeiter,
corporate crèche facility,betriebliche Kindertagesstätte,
services provided,erbrachte Leistungen,
operational guidelines,Betriebsrichtlinien,
roles and responsibilities,Rollen und Verantwortlichkeiten,
rights and obligations,Rechte und Pflichten,
childcare needs,Kinderbetreuungsbedarf,
family-friendly work environment,familienfreundliches Arbeitsumfeld,
work-life balance,Work-Life-Balance,
employee retention,Mitarbeiterbindung,
safety and well-being,Sicherheit und Wohlbefinden,
parents/guardians,Eltern/Erziehungsberechtigte,
full-time employees,Vollzeitmitarbeiter,
part-time employees,Teilzeitmitarbeiter,
Right for admission,Recht auf Aufnahme,
seat availability,Platzverfügbarkeit,
service provider,Dienstleister,
Discounted rates,ermäßigte Tarife,
policy document,Richtliniendokument,
timings,Öffnungszeiten,
location,Standort,
weekends,Wochenenden,
public holidays,Feiertage,
company-declared holidays,betrieblich festgelegte Feiertage,
operational model,Betriebsmodell,
Proprietary,Eigentumsrechtlich,
Confidential,Vertraulich,
termination of employment,Beendigung des Arbeitsverhältnisses,
parent,Elternteil,
contact information,Kontaktinformationen,
health conditions,Gesundheitszustand,
pertinent information,relevante Informationen,
creche activities,Krippenaktivitäten,
meetings,Besprechungen,
rates,Tarife,
working days,Arbeitstage,
concerns,Bedenken,
Creche Administrator,Krippenverwaltung,
REFS team,REFS-Team,
sanitation,Hygiene,
data protection,Datenschutz,
confidentiality,Vertraulichkeit,
child’s due care,angemessene Betreuung des Kindes,
creche staff’s qualification,Qualifikation des Krippenpersonals,
capability in childcare,Fähigkeit in der Kinderbetreuung,
first aid,Erste Hilfe,
emergency procedures,Notfallverfahren,
CCTV cameras,Überwachungskameras,
play materials,Spielmaterialien,
crèche administrative committee,Verwaltungsausschuss der Kindertagesstätte,
Office location,Bürostandort,
Day Care Facility,Kindertagesstätte,
Name,Name,
Address,Adresse,
Phone number,Telefonnummer,
Age Group,Altersgruppe,
Indicative Price,Richtpreis,
per child,pro Kind,
Per month,pro Monat,
Chennai HQ,Chennai HQ,
Euro Kids,Euro Kids,
Vidha,Vidha,
Franchisee,Franchisenehmer,
Defence Colony,Defence Colony,
Ekkatuthangal,Ekkatuthangal,
Dr Sowndarya,Dr Sowndarya,
